t, X(t)
3.8995, -0.2263
3.9058, -0.2220
3.9121, -0.2176
3.9183, -0.2132
3.9246, -0.2088
3.9309, -0.2043
3.9372, -0.1998
3.9435, -0.1953
3.9498, -0.1908
3.9561, -0.1862
3.9624, -0.1817
3.9687, -0.1770
3.9749, -0.1724
3.9812, -0.1677
3.9875, -0.1630
3.9938, -0.1583
4.0001, -0.1536
4.0064, -0.1488
4.0127, -0.1440
4.0190, -0.1392
4.0253, -0.1343
4.0316, -0.1294
4.0378, -0.1245
4.0441, -0.1196
4.0504, -0.1147
4.0567, -0.1097
4.0630, -0.1047
4.0693, -0.0997
4.0756, -0.0946
4.0819, -0.0896
4.0882, -0.0845
4.0944, -0.0794
4.1007, -0.0742
4.1070, -0.0691
4.1133, -0.0639
4.1196, -0.0587
4.1259, -0.0534
4.1322, -0.0482
4.1385, -0.0429
4.1448, -0.0376
4.1511, -0.0323
4.1573, -0.0270
4.1636, -0.0216
4.1699, -0.0163
4.1762, -0.0109
4.1825, -0.0054
4.1888, -0.0000
4.1951, 0.0055
4.2014, 0.0109
4.2077, 0.0164
4.2139, 0.0219
4.2202, 0.0275
4.2265, 0.0330
4.2328, 0.0386
4.2391, 0.0442
4.2454, 0.0498
4.2517, 0.0554
4.2580, 0.0611
4.2643, 0.0667
4.2706, 0.0724
4.2768, 0.0781
4.2831, 0.0838
4.2894, 0.0895
4.2957, 0.0953
4.3020, 0.1010
4.3083, 0.1068
4.3146, 0.1126
4.3209, 0.1184
4.3272, 0.1242
4.3334, 0.1301
4.3397, 0.1359
4.3460, 0.1418
4.3523, 0.1477
4.3586, 0.1536
4.3649, 0.1595
4.3712, 0.1654
4.3775, 0.1713
4.3838, 0.1773
4.3901, 0.1832
4.3963, 0.1892
4.4026, 0.1952
4.4089, 0.2012
4.4152, 0.2072
4.4215, 0.2132
4.4278, 0.2192
4.4341, 0.2253
4.4404, 0.2313
4.4467, 0.2374
4.4529, 0.2435
4.4592, 0.2495
4.4655, 0.2556
4.4718, 0.2617
4.4781, 0.2679
4.4844, 0.2740
4.4907, 0.2801
4.4970, 0.2862
4.5033, 0.2924
4.5096, 0.2986
4.5158, 0.3047
4.5221, 0.3109
4.5284, 0.3171
4.5347, 0.3233
4.5410, 0.3294
4.5473, 0.3357
4.5536, 0.3419
4.5599, 0.3481
4.5662, 0.3543
4.5724, 0.3605
4.5787, 0.3667
4.5850, 0.3730
4.5913, 0.3792
4.5976, 0.3855
4.6039, 0.3917
4.6102, 0.3980
4.6165, 0.4042
4.6228, 0.4105
4.6291, 0.4168
4.6353, 0.4230
4.6416, 0.4293
4.6479, 0.4356
4.6542, 0.4419
4.6605, 0.4481
4.6668, 0.4544
4.6731, 0.4607
4.6794, 0.4670
4.6857, 0.4733
4.6919, 0.4796
4.6982, 0.4858
4.7045, 0.4921
4.7108, 0.4984
4.7171, 0.5047
4.7234, 0.5110
4.7297, 0.5173
4.7360, 0.5236
4.7423, 0.5299
4.7486, 0.5362
4.7548, 0.5424
4.7611, 0.5487
4.7674, 0.5550
4.7737, 0.5613
4.7800, 0.5676
4.7863, 0.5738
4.7926, 0.5801
4.7989, 0.5864
4.8052, 0.5926
4.8114, 0.5989
4.8177, 0.6052
4.8240, 0.6114
4.8303, 0.6177
