t, X(t)
3.037816, -4.313445
3.044106, -4.265422
3.050395, -4.217195
3.056685, -4.168772
3.062974, -4.120162
3.069264, -4.071373
3.075553, -4.022412
3.081843, -3.973288
3.088132, -3.924008
3.094422, -3.874582
3.100711, -3.825016
3.107001, -3.775319
3.113290, -3.725499
3.119579, -3.675564
3.125869, -3.625522
3.132158, -3.575380
3.138448, -3.525148
3.144737, -3.474832
3.151027, -3.424442
3.157316, -3.373984
3.163606, -3.323467
3.169895, -3.272898
3.176185, -3.222287
3.182474, -3.171639
3.188764, -3.120964
3.195053, -3.070269
3.201343, -3.019561
3.207632, -2.968850
3.213922, -2.918141
3.220211, -2.867444
3.226501, -2.816766
3.232790, -2.766114
3.239080, -2.715496
3.245369, -2.664919
3.251658, -2.614392
3.257948, -2.563922
3.264237, -2.513516
3.270527, -2.463181
3.276816, -2.412925
3.283106, -2.362756
3.289395, -2.312681
3.295685, -2.262706
3.301974, -2.212840
3.308264, -2.163089
3.314553, -2.113460
3.320843, -2.063962
3.327132, -2.014600
3.333422, -1.965381
3.339711, -1.916314
3.346001, -1.867404
3.352290, -1.818658
3.358580, -1.770083
3.364869, -1.721687
3.371158, -1.673475
3.377448, -1.625454
3.383737, -1.577631
3.390027, -1.530012
3.396316, -1.482604
3.402606, -1.435413
3.408895, -1.388445
3.415185, -1.341708
3.421474, -1.295206
3.427764, -1.248946
3.434053, -1.202934
3.440343, -1.157176
3.446632, -1.111679
3.452922, -1.066447
3.459211, -1.021487
3.465501, -0.976805
3.471790, -0.932405
3.478080, -0.888294
3.484369, -0.844478
3.490659, -0.800961
3.496948, -0.757749
3.503237, -0.714847
3.509527, -0.672261
3.515816, -0.629996
3.522106, -0.588056
3.528395, -0.546447
3.534685, -0.505174
3.540974, -0.464241
3.547264, -0.423653
3.553553, -0.383415
3.559843, -0.343532
3.566132, -0.304007
3.572422, -0.264846
3.578711, -0.226052
3.585001, -0.187631
3.591290, -0.149586
3.597580, -0.111921
3.603869, -0.074640
3.610159, -0.037747
3.616448, -0.001246
3.622737, 0.034859
3.629027, 0.070565
3.635316, 0.105868
3.641606, 0.140764
3.647895, 0.175251
3.654185, 0.209324
3.660474, 0.242981
3.666764, 0.276219
3.673053, 0.309035
3.679343, 0.341425
3.685632, 0.373386
3.691922, 0.404917
3.698211, 0.436015
3.704501, 0.466676
3.710790, 0.496898
3.717080, 0.526679
3.723369, 0.556017
3.729659, 0.584910
3.735948, 0.613355
3.742237, 0.641350
3.748527, 0.668894
3.754816, 0.695984
3.761106, 0.722619
3.767395, 0.748798
3.773685, 0.774518
3.779974, 0.799779
3.786264, 0.824579
3.792553, 0.848916
3.798843, 0.872790
3.805132, 0.896200
3.811422, 0.919144
3.817711, 0.941622
3.824001, 0.963633
3.830290, 0.985176
3.836580, 1.006251
3.842869, 1.026857
3.849159, 1.046994
3.855448, 1.066662
3.861738, 1.085860
3.868027, 1.104588
3.874316, 1.122846
3.880606, 1.140635
3.886895, 1.157955
3.893185, 1.174805
3.899474, 1.191187
3.905764, 1.207101
3.912053, 1.222546
3.918343, 1.237525
3.924632, 1.252037
3.930922, 1.266084
3.937211, 1.279667
3.943501, 1.292786
3.949790, 1.305442
3.956080, 1.317638
3.962369, 1.329374
3.968659, 1.340651
3.974948, 1.351472
3.981238, 1.361837
3.987527, 1.371749
3.993816, 1.381209
4.000106, 1.390219
4.006395, 1.398781
4.012685, 1.406898
4.018974, 1.414570
4.025264, 1.421801
4.031553, 1.428592
4.037843, 1.434947
4.044132, 1.440867
4.050422, 1.446355
4.056711, 1.451415
4.063001, 1.456047
4.069290, 1.460257
4.075580, 1.464045
4.081869, 1.467416
4.088159, 1.470372
4.094448, 1.472917
4.100738, 1.475053
4.107027, 1.476785
4.113317, 1.478115
4.119606, 1.479047
4.125895, 1.479584
4.132185, 1.479731
4.138474, 1.479491
4.144764, 1.478867
4.151053, 1.477864
4.157343, 1.476485
4.163632, 1.474735
4.169922, 1.472617
4.176211, 1.470136
4.182501, 1.467296
4.188790, 1.464102
4.195080, 1.460557
4.201369, 1.456666
4.207659, 1.452434
4.213948, 1.447865
4.220238, 1.442964
4.226527, 1.437735
4.232817, 1.432184
4.239106, 1.426315
4.245395, 1.420133
4.251685, 1.413643
4.257974, 1.406850
4.264264, 1.399760
4.270553, 1.392377
4.276843, 1.384706
4.283132, 1.376754
4.289422, 1.368524
4.295711, 1.360023
4.302001, 1.351256
4.308290, 1.342228
4.314580, 1.332946
4.320869, 1.323414
4.327159, 1.313638
4.333448, 1.303624
4.339738, 1.293378
4.346027, 1.282905
4.352317, 1.272212
4.358606, 1.261304
4.364895, 1.250187
4.371185, 1.238866
4.377474, 1.227349
4.383764, 1.215642
4.390053, 1.203749
4.396343, 1.191677
4.402632, 1.179433
4.408922, 1.167023
4.415211, 1.154453
4.421501, 1.141729
4.427790, 1.128857
4.434080, 1.115844
4.440369, 1.102696
4.446659, 1.089420
4.452948, 1.076022
4.459238, 1.062508
4.465527, 1.048886
4.471817, 1.035160
4.478106, 1.021338
4.484396, 1.007427
4.490685, 0.993433
4.496974, 0.979363
4.503264, 0.965222
4.509553, 0.951019
4.515843, 0.936759
4.522132, 0.922449
4.528422, 0.908095
4.534711, 0.893705
4.541001, 0.879286
4.547290, 0.864843
4.553580, 0.850383
4.559869, 0.835914
4.566159, 0.821441
4.572448, 0.806972
4.578738, 0.792514
4.585027, 0.778072
4.591317, 0.763655
4.597606, 0.749268
4.603896, 0.734918
4.610185, 0.720612
4.616474, 0.706356
4.622764, 0.692159
4.629053, 0.678025
4.635343, 0.663962
4.641632, 0.649976
4.647922, 0.636075
4.654211, 0.622264
4.660501, 0.608551
4.666790, 0.594942
4.673080, 0.581444
4.679369, 0.568063
4.685659, 0.554806
4.691948, 0.541680
4.698238, 0.528691
4.704527, 0.515845
4.710817, 0.503150
4.717106, 0.490611
4.723396, 0.478235
4.729685, 0.466029
4.735975, 0.453998
4.742264, 0.442150
4.748553, 0.430491
4.754843, 0.419026
4.761132, 0.407763
4.767422, 0.396707
4.773711, 0.385865
4.780001, 0.375243
4.786290, 0.364847
4.792580, 0.354683
4.798869, 0.344758
4.805159, 0.335076
4.811448, 0.325645
4.817738, 0.316471
4.824027, 0.307558
4.830317, 0.298913
4.836606, 0.290543
4.842896, 0.282451
4.849185, 0.274646
4.855475, 0.267131
4.861764, 0.259912
4.868053, 0.252996
4.874343, 0.246388
4.880632, 0.240093
4.886922, 0.234116
4.893211, 0.228463
4.899501, 0.223140
4.905790, 0.218151
4.912080, 0.213501
4.918369, 0.209197
4.924659, 0.205242
4.930948, 0.201642
4.937238, 0.198402
4.943527, 0.195527
4.949817, 0.193021
4.956106, 0.190890
4.962396, 0.189137
4.968685, 0.187768
4.974975, 0.186788
4.981264, 0.186199
4.987554, 0.186008
4.993843, 0.186218
5.000132, 0.186834
5.006422, 0.187860
5.012711, 0.189300
5.019001, 0.191157
5.025290, 0.193437
5.031580, 0.196143
5.037869, 0.199278
5.044159, 0.202847
5.050448, 0.206853
5.056738, 0.211300
5.063027, 0.216191
5.069317, 0.221529
5.075606, 0.227319
5.081896, 0.233563
5.088185, 0.240265
5.094475, 0.247427
5.100764, 0.255053
5.107054, 0.263146
5.113343, 0.271708
5.119632, 0.280742
5.125922, 0.290252
5.132211, 0.300239
5.138501, 0.310705
5.144790, 0.321655
5.151080, 0.333089
5.157369, 0.345010
5.163659, 0.357421
5.169948, 0.370323
5.176238, 0.383718
5.182527, 0.397608
5.188817, 0.411995
5.195106, 0.426881
5.201396, 0.442267
5.207685, 0.458156
5.213975, 0.474547
5.220264, 0.491443
5.226554, 0.508845
5.232843, 0.526754
